,year,movie,url,genre,release_type,revenue_to_date
8278,1986,Stand by Me,https://www.the-numbers.com/movie/Stand-by-Me,Drama,Theatrical,52288650.0
8279,1986,The Transformers: The Movie,https://www.the-numbers.com/movie/Transformers-The-Movie-The-(1986),Adventure,Theatrical,14110412.0
8281,1986,Armed and Dangerous,https://www.the-numbers.com/movie/Armed-and-Dangerous,Comedy,Theatrical,15945534.0
8282,1986,The Boy Who Could Fly,https://www.the-numbers.com/movie/Boy-Who-Could-Fly-The,Drama,Theatrical,7177431.0
8283,1986,The Fly,https://www.the-numbers.com/movie/Fly-The,Horror,Theatrical,37585694.0
8285,1986,Manhunter,https://www.the-numbers.com/movie/Manhunter,Thriller/Suspense,Theatrical,8622413.0
8293,1986,Extremities,https://www.the-numbers.com/movie/Extremities,Thriller/Suspense,Theatrical,13418091.0
8297,1986,The Texas Chainsaw Massacre 2,https://www.the-numbers.com/movie/Texas-Chainsaw-Massacre-2-The-(1986),Horror,Theatrical,8025872.0
8315,1986,Blue Velvet,https://www.the-numbers.com/movie/Blue-Velvet,Thriller/Suspense,Theatrical,8663300.0
8323,1986,The Name of the Rose,https://www.the-numbers.com/movie/Name-of-the-Rose-The,,Theatrical,7153000.0
8325,1986,Crocodile Dundee,https://www.the-numbers.com/movie/Crocodile-Dundee,Comedy,Theatrical,328203506.0
8333,1986,Children of a Lesser God,https://www.the-numbers.com/movie/Children-of-a-Lesser-God,Drama,Theatrical,31853080.0
8336,1986,Tough Guys,https://www.the-numbers.com/movie/Tough-Guys,Comedy,Theatrical,21531464.0
8339,1986,Deadly Friend,https://www.the-numbers.com/movie/Deadly-Friend,Horror,Theatrical,8988731.0
8340,1986,Jumpin' Jack Flash,https://www.the-numbers.com/movie/Jumpin-Jack-Flash,Comedy,Theatrical,25587804.0
8342,1986,Peggy Sue Got Married,https://www.the-numbers.com/movie/Peggy-Sue-Got-Married,Comedy,Theatrical,41382841.0
8345,1986,The Color of Money,https://www.the-numbers.com/movie/Color-of-Money-The-(1986),Drama,Theatrical,52293000.0
8346,1986,The Mission,https://www.the-numbers.com/movie/Mission-The-(UK),Drama,Theatrical,20809038.0
8348,1986,Something Wild,https://www.the-numbers.com/movie/Something-Wild,Comedy,Theatrical,8362371.0
8351,1986,Soul Man,https://www.the-numbers.com/movie/Soul-Man,Comedy,Theatrical,27316198.0
