,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
4,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2018/10/05,-,"$1,388",-11%,1,"$1,388","  $1,254,036",weekend,392,
0,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Brazil#tab=box-office,2013/01/04,23,$37, ,1,$37,"  $1,829",weekend,3,
1,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Brazil#tab=box-office,2013/01/11,29,$111,+200%,1,$111,"  $1,940",weekend,4,
2,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Brazil#tab=box-office,2013/01/18,30,$9,-92%,1,$9,"  $1,949",weekend,5,
0,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/United-Kingdom#tab=box-office,2015/10/16,83,$241, ,1,$241,"  $30,497",weekend,227,
0,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2014/12/12,20,"$1,392", ,1,"$1,392","  $1,449,401",weekend,715,
1,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2015/05/29,51,"$1,059", ,1,"$1,059","  $1,345,873",weekend,217,
2,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2015/08/14,71,"$1,039", ,1,"$1,039","  $1,299,339",weekend,228,
3,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2018/09/28,-,"$1,559", ,1,"$1,559","  $1,284,674",weekend,391,
4,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Australia#tab=box-office,2018/10/05,-,"$1,388",-11%,1,"$1,388","  $1,254,036",weekend,392,
0,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Brazil#tab=box-office,2013/01/04,23,$37, ,1,$37,"  $1,829",weekend,3,
1,https://www.the-numbers.com/movie/Born-to-be-Wild-3D/Brazil#tab=box-office,2013/01/11,29,$111,+200%,1,$111,"  $1,940",weekend,4,
